Line #,Reward Date,Investment Amount,Reward Amount,Total Reward Amount till that date,Staking Reward Rate
1,2024-04-23,25.000000,0.000000,0.000000,10.00%
2,2024-05-23,25.205479,0.205479,0.205479,10.00%
3,2024-06-23,25.419553,0.214074,0.419553,10.00%
4,2024-07-23,25.628481,0.208928,0.628481,10.00%
5,2024-08-23,25.846148,0.217667,0.846148,10.00%
6,2024-09-23,26.065663,0.219515,1.065663,10.00%
7,2024-10-23,26.279901,0.214238,1.279901,10.00%
8,2024-11-23,26.503100,0.223199,1.503100,10.00%
9,2024-12-23,26.720934,0.217834,1.720934,10.00%
10,2025-01-23,26.947879,0.226945,1.947879,10.00%
11,2025-02-23,27.176751,0.228872,2.176751,10.00%
12,2025-03-23,27.385230,0.208479,2.385230,10.00%
13,2025-04-23,27.571300,0.186070,2.571300,8.00%
14,2025-05-23,27.752591,0.181291,2.752591,8.00%
15,2025-06-23,27.941157,0.188566,2.941157,8.00%
16,2025-07-23,28.124880,0.183723,3.124880,8.00%
17,2025-08-23,28.315975,0.191095,3.315975,8.00%
18,2025-09-23,28.508368,0.192393,3.508368,8.00%
19,2025-10-23,28.695820,0.187452,3.695820,8.00%
20,2025-11-23,28.890794,0.194974,3.890794,8.00%
21,2025-12-23,29.080761,0.189967,4.080761,8.00%
22,2026-01-23,29.278351,0.197590,4.278351,8.00%
23,2026-02-23,29.477283,0.198932,4.477283,8.00%
24,2026-03-23,29.658185,0.180902,4.658185,8.00%
